term,frequency
kiểm tra,3
Cơ quan thuế,3
hệ thống,3
kế hoạch kinh doanh,3
Payroll/C&B,3
Data khách hàng,3
CTR,3
tồn kho,3
Chat,3
CCDC,3
tư vấn bán hàng,3
Influencer Marketing,3
hóa đơn điện tử,3
mỹ phẩm,3
Chuẩn mực kế toán Việt Nam,3
Báo cáo thuế định kỳ,3
tín dụng ngân hàng,3
SMT,3
Tiếng Trung Quốc,3
Technical Leader,2
Phát thanh / Truyền hình,2
Kỹ năng đàm phán,2
Etabs,2
Kinh doanh thực phẩm,2
Phần mềm kế toán Misa,2
Account Manager,2
kinh doanh HORECA,2
Quản lý Kinh doanh khác,2
Bán hàng siêu thị/cửa hàng tiện ích/tiện lợi,2
Revit Architect,2
Data Engineer,2
Data Analytics,2
Quản lý/Trưởng phòng vận hành,2
advanced troubleshooting skills,2
Tiếng Anh Giao tiếp cơ bản,2
3DSmax,2
Kế toán bán hàng,2
Hàng hải,2
máy tính cơ bản,2
Kinh doanh tiệc/sự kiện/hội nghị,2
thuyết phục,2
Kỹ năng giải quyết vấn đề,2
PostgreSQL,2
Golang,2
Fullstack Developer,2
Trưởng phòng kinh doanh,2
GitLab CI,2
Thu hồi nợ,2
PLC,2
Sales Admin,2
Sales Support,2
Sales Associate,2
Kinh doanh ô tô/xe máy/xe điện,2
Auto cad,2
AI Engineer,2
BHYT,2
BHTN,2
Mỹ thuật / Nghệ thuật / Điện ảnh,2
Microsoft Offices,2
Lucidchart,2
Whimsical,2
NodeJS,2
Thuế khác,2
Social Media Management,2
Giao dịch viên,2
Digital Marketing (Facebook Ads,2
Kinh nghiệm triển khai chiến dịch khai trương,2
ra mắt sản phẩm,2
chương trình khuyến mãi,2
Hiểu hành vi khách hàng ngành F&B,2
SQL,2
Lumion,2
vi tính văn phòng,2
Backend Developer,2
Email Marketing,2
Lắp đặt/bảo trì thang máy,2
Pháp chế,2
Premiere Pro,2
Kỹ thuật viễn thông,2
Linux,2
Kinh doanh phụ tùng ô tô/xe máy/xe điện,2
Sales IT Phần mềm khác,2
ISO 45001,2
BIM,2
3D,2
POS,2
Quản trị nhân sự,2
Phân tích,2
giao tiếp,2
Outlook,2
NX,2
Tiếng Trung,2
Host Livestream/Streamer,2
Sales Sản xuất khác,2
In ấn / Xuất bản,2
Flutter,2
Clean Architecture,2
Bloc,2
Tiếng Nhật JLPT N3,2
Project,2
PPT,2
Technical Manager,2
3Dmax,2
Công nhân vận hành máy,2
Kỹ sư cấp thoát nước,2
Theo dõi đơn hàng,2
Push Notification,2
Hàng không,2
Toàn đạc điện tử,2
quan hệ lao động,2
phụ kiện,2
Kinh doanh kênh MT,2
Server,2
Bán hàng điện thoại,2
Lao động phổ thông,2
SEO YouTube,2
Bán hàng mỹ phẩm,2
Tiếng Trung HSK 6,2
Recruitment,2
Dự toán công trình,2
Kiến trúc sư,2
IELTS,2
giáo viên tiếng Anh,2
Kinh doanh/Bán hàng khác,2
Livestream,2
đàm phán,2
MS Project,2
Navisworks,2
Phần mềm dự toán,2
BIM Engineer,2
Misa Amis,2
chứng chỉ,2
Kỹ sư điện mặt trời,2
Quan hệ khách hàng,2
kinh doanh dịch vụ y tế,2
Chuyên môn Giám đốc dịch vụ khách hàng,2
Chuyên môn Giám đốc ngân hàng,2
TOEIC 500 trở lên hoặc chứng chỉ tương đương,2
Giám đốc sản xuất,2
Đọc hiểu,2
Logistic,2
Kiểm soát chi phí,2
LinkedIn,2
Lập trình,2
báo cáo thuế,2
lò hơi,2
TNCN,2
TNDN,2
hạch toán kế toán,2
An toàn thực phẩm,2
C&B,2
FAST system,2
Standard Operating Procedures (SOPs,2
làm hồ sơ,2
giao nhận hàng hóa,2
giám sát thi công hệ thống PCCC,2
hồ sơ nhân sự,2
hiệu chuẩn buồng nhiệt độ,2
buồng tạo nhiệt độ,2
độ ẩm,2
máy công nghiệp,2
hồ sơ thi công,2
MEP (Cơ điện,2
vận đơn,2
Lệnh Giao hàng,2
Microsoft Office tools,2
Tiếng Trung HSK5,2
SLA,2
CSAT,2
Ticket Performance,2
Service Delivery,2
Happy Call,2
Concept,2
Basic,2
Technical,2
mặt bằng,2
mặt đứng,2
cảnh quan,2
xung đột thiết kế (clash,2
lắp dựng hạng mục nhôm kính,2
hệ thống thông tin quản lý,2
DevExpress,2
mạng nội bộ,2
trang thiết bị CNTT,2
HRM,2
E-Office,2
phân ca tự động,2
phần mềm nghiệp vụ,2
an toàn thông tin,2
sự cố an ninh mạng,2
tuyển dụng mass,2
Social,2
hạch toán lương,2
tờ khai thuế GTGT,2
Mastercam,2
Tờ khai thuế định kỳ,2
thiết kế cơ khí,2
vật liệu xây dựng,2
an toàn lao động,2
thiết kế,2
KOC,2
Phân tích nghiệp vụ,2
Draw.io,2
Power Query,2
BPMN,2
Đức,2
Nhật Bản,2
bản vẽ kỹ thuật 2D,2
vật tư xây dựng,2
Facebook Reels,2
Cửa hàng trưởng,2
Tiếng Anh (IELTS,2
Forwarder,2
booking KOL/KOC,2
Rủi ro tài chính,2
vận chuyển,2
Cơ điện,2
C/C++,2
Middleware,2
Sentry,2
hàm logic,2
mô hình tài chính,2
branding,2
báo cáo kinh doanh,2
API,2
Kê khai thuế định kỳ,2
Công nợ phải thu – phải trả,2
Thanh tra,2
truyền thông,2
hệ thống PCCC,2
sản phẩm,2
sự kiện nội bộ,2
Tiếng Nhật JLPT N1,2
nghiệm thu,2
Tiếng Anh giao tiếp tốt,2
Agile/Scrum,2
Pr,2
đối tác,2
quay phim,2
chụp ảnh,2
DMS,2
Quản trị Nhân lực,2
Filler,2
Botox,2
Laser,2
Vlookup,2
Threads,2
Sàn TMĐT,2
điện nước,2
Phân tích thị trường,2
hệ thống phòng cháy chữa cháy (PCCC,2
Tờ rơi,2
Affiliate,2
KOC/KOL,2
Content,2
Designer,2
đấu thầu,2
Biểu mẫu,2
HVAC,2
GMV,2
tiền gửi,2
Lập báo cáo tài chính,2
công cụ dụng cụ,2
Telegram,2
drawings,2
Kỹ thuật Nhiệt lạnh,2
hồ sơ thiết kế,2
Catalog,2
thanh toán,2
Kafka,2
ISO 9001:2015,2
SOP,2
IQC,2
VNACCS,2
Báo cáo doanh thu,2
kho,2
chứng từ bán hàng,2
Product Executive,2
Product Specialist,2
Nhân công,2
Kiểm soát nghiệp vụ kế toán,2
phân tích dữ liệu,2
HSK 6,2
Báo cáo tài chính cuối năm,2
quy định của NHNN,2
Pháp luật liên quan đến hoạt động kinh doanh Ngân hàng,2
Ô tô,2
hạch toán chứng từ kế toán,2
prompt engineering,2
Zapier,2
Make,2
n8n,2
tư vấn tuyển sinh,2
đồ gá,2
Chứng chỉ Kế toán trưởng theo quy định,2
nhận diện thương hiệu,2
kiểm soát chất lượng,2
hạch toán doanh thu,2
CAPA,2
Creo,2
tiếng Anh chuyên ngành,2
hệ thống điện mặt trời,2
NPI,2
ERP Strategy & Roadmap,1
ERP Governance & Change Management,1
ERP Implementation & Lifecycle Management,1
Business Partnership & Support,1
Change,1
Adoption & Capability Building,1
Content Creator,1
Công nghiệp hoá chất,1
Tiếng Trung (Nghe – Nói – Đọc – Viết,1
thuyết phục tốt,1
Kỹ năng tổ chức và quản lý công việc,1
