term,frequency
sự hài lòng của khách hàng,1
Lập ngân sách hàng năm cho tất cả các đơn vị tại Việt Nam (3 đơn vị + 1 liên doanh,1
Chịu trách nhiệm báo cáo KPI về rủi ro và ESG,1
Thúc đẩy cải tiến liên tục về luồng dữ liệu,1
chính sách kế toán và độ chính xác của việc ghi nhận chi phí/doanh thu để tăng cường hiểu biết và dự báo về lãi lỗ,1
Xây dựng tất cả các mô hình tài chính (tỷ suất lợi nhuận nội bộ) cho các cơ hội kinh doanh mới (nhà máy mới,1
khách hàng trọng điểm mới,1
mua lại,1
v.v,1
Kế toán thanh toán,1
Kinh doanh thiết bị/linh kiện điện,1
Quản lý chất lượng khác,1
Premiere/CapCut,1
Trade Marketing,1
Chuyên môn Dịch vụ khách hàng/Vận hành khác,1
Affiliate Marketing,1
phần mềm dự toán (G8,1
Acitt,1
hoặc tương đương,1
Quản lý hàng hóa,1
Nhập kho,1
Xuất kho,1
Kiểm tra model,1
mã hàng,1
màu sắc,1
khóa,1
Phối hợp với bộ phận sale,1
kế toán và giao hàng,1
Sắp xếp kho khoa học,1
sạch sẽ,1
dễ kiểm kê và dễ lấy hàng,1
Quản lý tem nhãn,1
chìa khóa,1
pin,1
hộp tiếp pin,1
sách hướng dẫn,1
Theo dõi tồn kho thực tế và báo cáo số lượng hàng thiếu/hàng bán chạy,1
Hỗ trợ bốc xếp,1
đóng gói và bàn giao hàng cho đơn vị vận chuyển,1
Kiểm kê kho định kỳ theo tuần/tháng,1
Đảm bảo xuất đúng hàng – đúng mã – đúng khách – đúng tình trạng,1
Hỗ trợ hướng dẫn sử dụng két sắt cho khách hàng khi cần,1
Hỗ trợ kiểm tra lỗi cơ bản,1
tiếp nhận và xử lý bảo hành sản phẩm,1
Accounting software,1
Điều hành tour,1
Chuyên viên xử lý nợ,1
Điện công nghiệp,1
Kỹ thuật Ô tô,1
ATVSLĐ,1
ISO,1
HACCP,1
Quản lý khối lượng tổ đội,1
Lập dự toán thiết kế,1
hồ sơ thầu,1
Quản lý công trình xây dựng,1
Nghiệm thu công trình,1
Bóc tách khối lượng theo bản vẽ TKTC,1
Dự trù vật tư,1
Internet,1
Quản lý hành chính,1
Quản lý hậu cần,1
Lễ tân,1
Văn thư,1
Lưu trữ,1
Thu mua hàng,1
Mua sắm,1
Linux-based environments,1
Docker and Kubernetes,1
JavaScript,1
Ruby,1
C#,1
MongoDB,1
Domain,1
Hosting,1
Quản lý phòng nhân sự,1
Xây dựng hệ thống quản trị nhân sự,1
Xây dựng và triển khai thực hiện văn hóa doanh nghiệp,1
Microsoft Office tools (Word,1
Familiar with medical device sales,1
Quản lý sản xuất/Quản lý nguyên vật liệu (PMC,1
Quản lý bộ phận Marketing,1
Lập kế hoạch và quản lý nhóm,1
Giám sát hoạt động,1
Phối hợp với các nền tảng E- commerce (Grab,1
Shoppe Food,1
Thực hiện công việc theo yêu cầu của Quản lý trực tiếp,1
BOM,1
Tiếng Trung HSK 3-4,1
Kỹ năng tổ chức sắp xếp công việc,1
Kỹ năng làm việc độc lập và theo nhóm,1
Xây dựng chiến lược Marketing,1
Quản lý hoạt động Marketing,1
Theo dõi hiệu quả các chiến dịch quảng cáo,1
Phối hợp với phòng Kinh doanh,1
Kiểm soát nội dung truyền thông,1
hình ảnh thương hiệu và định hướng sáng tạo,1
định hướng và đánh giá hiệu quả các chỉ số: FB ads,1
Xây dựng và phát triển đội ngũ Marketing,1
Đào tạo nhân sự,1
Phân công công việc,1
đánh giá KPI nhân sự định kỳ,1
Nghiên cứu thị trường,1
corel,1
Trợ lý/Thư ký,1
Adobe Premiere,1
Sales Giáo dục/Khoá học khác,1
Website,1
giao tiếp tiếng Anh cơ bản,1
đàm phán tốt,1
thuyết phục khách hàng,1
MISA phần mềm kế toán,1
Tư vấn tín dụng,1
Video editing,1
SEO Website,1
Livestream bán hàng,1
Shopee Live,1
Facebook Live,1
quan_ly_van_hanh_sandon_online,1
theo_doi_doanh_thu,1
phong_hop_trien_khai_chuong_trinh_khen_giai,1
quản_lý_nội dung_hiển thị_bán_hang,1
theo_doi_phản_hồi_khach_hang,1
Meta Ads,1
Huy động vốn,1
MS Excel,1
Human Resources,1
Business Administration,1
Accounting,1
giao tiếp qua điện thoại,1
thực hiện công việc theo quy trình,1
phỏng vấn ứng viên,1
phân tích báo cáo,1
English proficiency,1
tư vấn khách hàng,1
phát triển công việc sale,1
giọng nói rõ ràng,1
kỹ năng tư vấn cơ bản,1
Các phần mềm Khai báo hải quan,1
Tốt nghiệp từ Cao Đẳng trở lên,1
Học chuyên ngành liên quan,1
Windows 10/11,1
hệ thống mạng (TCP/IP,1
DNS,1
DHCP,1
Wi-Fi,1
VPN,1
an toàn thông tin (phishing,1
malware,1
cập nhật bảo mật,1
Phân loại/Sắp xếp hàng hoá,1
dbt,1
MiTek,1
Sapphire,1
sửa chữa/bảo trì điện tử/viễn thông,1
3D Max (vray - corona,1
Data Scientist,1
kỹ năng tư vấn khách hàng,1
IT Helpdesk,1
IT Support,1
ứng dụng doanh nghiệp,1
tin học văn phòng cơ bản (Word,1
Luật BHYT,1
Luật BHTN,1
Trưởng phòng kinh doanh Marketing / Quảng cáo,1
thành thạo Excel và các phần mềm quản lý kho,1
MS-Office,1
3Ds Max (Corona/V-Ray,1
Sửa chữa/Bảo trì máy phát điện,1
Chuyên môn Điện tử/Phần cứng khác,1
Chuyên môn IT - Phần cứng và máy tính,1
Sử dụng máy tính cơ bản,1
Sử dụng thiết kế cơ bản,1
Email,1
KiotViet,1
Sapo,1
Marketing Online,1
Video Production,1
ECUS,1
FAST (phần mềm kế toán,1
kỹ năng lắng nghe và thuyết phục,1
kỹ năng tư vấn sản phẩm dịch vụ qua điện thoại,1
giọng nói chuẩn,1
Haravan,1
VNPT Invoice,1
MISA InvoiceSME,1
Viettel-CA,1
Phân loại/Sắp xếp hàng hóa,1
GPS RTK,1
Chuyên viên pháp lý,1
Business Development,1
Leadership,1
Team Management,1
Client Success,1
Process Optimization,1
Market Positioning,1
Industry Expertise,1
Fast Accounting,1
Thuế Thu nhập cá nhân,1
Giám sát/Điều phối vận tải,1
AutoCAD (hoặc sketchUp,1
Kiểm soát thiết kế Cơ Điện,1
Thiết kế điện,1
Fast API,1
PostgresSQL,1
AMPQ,1
Pubsub,1
RPC,1
Azure,1
AWS,1
Google Cloud Platform,1
Solid,1
DIALux,1
Tư duy chiến lược và sáng tạo nội dung,1
Xử lý tình huống khéo lép,1
chuyên nghiệp,1
Nắm vững các nền tảng quảng cáo (Facebook,1
Google,1
Phân tích số liệu và quản trị đội nhóm,1
Trực page,1
Lễ tân/Đón tiếp,1
Meta Business Suite,1
Dịch vụ khách hàng/Chăm sóc khách hàng khác,1
Sales-driven and service-oriented,1
Self-motivated team player with good interpersonal skills,1
tư vấn và thuyết phục khách hàng,1
YouTube Ads,1
Financial Modeling,1
Nghiên cứu ngành,1
Phân tích chứng khoán,1
Phân tích vĩ mô,1
Google Dịch,1
GPT,1
strategic thinking and system management capability,1
negotiation,1
communication,1
and crisis-handling skills,1
fluent English proficiency,1
Google Analytics,1
Shopee Ads,1
linh hoạt,1
Tư duy xử lý tình huống trong kinh doanh,1
Kỹ năng thuyết trình,1
Etsy,1
Amazon,1
Ebay,1
Adobe,1
Lightroom,1
Quản lý khách hàng cá nhân/doanh nghiệp,1
tư duy sáng tạo,1
nhạy trend,1
kỹ năng cơ bản về ánh sáng,1
bố cục khung hình,1
Sales Dược/Y tế/Sức khoẻ/Làm đẹp khác,1
Tài chính/Ngân hàng/Bảo hiểm,1
Cổ phiếu,1
Trái phiếu,1
Các giải pháp đầu tư khác của VNDIRECT,1
Tiếng Hàn TOPIK 4,1
Tiếng Hàn Giao tiếp thành thạo,1
Biết tiếng Hàn,1
thiết kế hệ thống PCCC,1
bốc tách khối lượng,1
lập dự toán,1
kỹ năng làm báo giá,1
kỹ năng đàm phán hợp đồng,1
kỹ năng theo dõi tiến độ công trình,1
Sales bất động sản,1
Môi giới bất động sản,1
Primavera P6,1
thành thạo các phần mềm quản lý dự án,1
Revit (ưu tiên,1
Vray / Lumion / Enscape,1
Kế toán khác,1
AutoCAD Plant 3D,1
Enscape,1
Account Manager (Quản lý khách hàng,1
e-learning tools,1
Kỹ thuật viên châm cứu bấm huyệt,1
Kỹ thuật viên nông nghiệp/trồng trọt,1
Chuyên môn XNK/Hải quan,1
Chuyên môn Logistics/Vận tải,1
F1,1
G8,1
Kỹ thuật viên nông nghiệp,1
Quality Management System (QMS,1
8D reports,1
PFMEA,1
DFMEA,1
Control Plans,1
Process Flow diagrams,1
PPAP,1
Supplier quality management,1
Kiến thức về vật liệu,1
Quy trình gia công cơ khí,1
Dung sai,1
Lắp ghép,1
MicroStation,1
các phần mềm đo đạc,1
máy toàn đạc,1
máy thủy bình,1
Microsoft Excel,1
Microsoft Office (Outlook,1
Kỹ năng tư vấn,1
bán hàng,1
Kỹ năng giao tiếp và sản phẩm du lịch cao cấp,1
Bác sĩ nội khoa,1
Ms.Office,1
Phần mềm bóc tách khối lượng,1
điện tử,1
kinh doanh thiết bị điện,1
kinh doanh năng lượng,1
kinh doanh xe điện,1
MES,1
Kế toán sản xuất,1
Bán hàng online,1
Social Commerce,1
Quản trị Fanpage,1
Profile,1
Group,1
Kỹ thuật viên Spa,1
Bác sĩ da liễu,1
Các phần mềm chuyên nghành,1
Kỹ sư thiết kế cơ khí,1
Vẽ AutoCAD,1
Moho,1
Toon Boom,1
Kỹ sư cầu đường,1
Excel/Google Sheet,1
POS Sapo,1
3D (Sketchup hoặc Revit,1
Chuyên môn Vận hành và bảo trì/Hỗ trợ kỹ thuật khác,1
Base,1
Biên phiên dịch tiếng Hàn,1
Kiểm tra hóa đơn chứng từ,1
Lập báo cáo quản trị nội bộ,1
MS Office applications,1
SAP knowledge,1
Siemens NX,1
thành thạo Excel và vi tính văn phòng,1
Biết sử dụng phần mềm MISA hoặc ERP,1
Digital & Website Competency,1
Corporate profile development,1
Tender documentation support,1
International client documentation,1
Market research,1
Competitor benchmarking,1
Industry scanning,1
Technical marketing,1
các phần mềm kế toán,1
SEO Marketing,1
MISA/FAST/ERP,1
Dynamo,1
Revit API,1
Diroots,1
design software (Illustrator,1
CLO,1
Rhino,1
etc,1
Strong proficiency in design tools,1
Understanding of bag construction and materials,1
Lumion/Enscape,1
Account Executive,1
Amis,1
Chuẩn mực Kế toán Việt Nam (VAS,1
Luật thuế hiện hành,1
phương tiện di chuyển,1
Thuế GTGT,1
Thuế TNDN,1
Thuế TNCN,1
AI cơ bản,1
kỹ năng teamwork,1
ngôn ngữ tiếng Anh cơ bản,1
phần mềm kế toán fast,1
thành thạo Excel và các phần mềm kế toán thông dụng,1
HSK3,1
Tiếng Anh: B1,1
tiếng Anh IELTS 6.5,1
Tiếng Anh B1,1
Chinese,1
Vietnamese,1
Anh,1
Trung,1
Hàn,1
Tiếng Anh: Intermediate to Upper intermediate level,1
Tiếng Anh khá trở lên,1
IELTS 7.0,1
Tiếng Pháp,1
tiếng Anh IELTS 5.5,1
Tiếng Trung HSK4 hoặc tương đương cấp 4,1
English language skill is a plus,1
Kỹ sư điện tử viễn thông,1
Truyền dẫn DWDM,1
SDH,1
cáp quang,1
Hệ thống truy nhập quang PON,1
IP Networking,1
Microsoft Dynamics,1
Vận hành chung,1
vận hành và bảo trì thiết bị kỹ thuật hoặc hệ thống mô phỏng,1
Google Apps Script,1
NET,1
MVC,1
jQuery,1
HTML,1
CSS,1
Ajax,1
EasyUI,1
Bootstrap,1
Oracle database,1
Công cụ quản lý khách hàng (CRM,1
Tiếng Anh IELTS 5.5 trở lên,1
Revit MEP,1
Pvsyst,1
Kỹ sư kết cấu công trình,1
Kỹ sư địa chất,1
Giám đốc ngân hàng,1
Microsoft repairs through ROBO,1
ITSM tool,1
Camtasia,1
máy tính: Excel,1
trình duyệt,1
Hiểu biết sâu rộng về cấu trúc và hệ thống kỹ thuật của tòa nhà,1
Nắm vững các quy định pháp luật về an toàn,1
vệ sinh lao động,1
bảo hộ lao động,1
phòng cháy chữa cháy,1
Strategic HR Business Partnering,1
HR Process & Policy,1
Employee Relations,1
Performance Management (PM) Training & Development,1
Engagement Activities,1
Kỹ sư quản lý chất lượng nhà cung cấp (SQE,1
Quản lý lịch làm việc,1
Sắp xếp lịch họp,1
Điều phối thời gian làm việc,1
Soạn thảo văn bản,1
Tiếp nhận,1
phân loại và lưu trữ hồ sơ,1
Theo dõi và đôn đốc việc thực hiện các chỉ đạo của Giám đốc,1
Hỗ trợ đối nội – đối ngoại,1
Là đầu mối liên hệ giữa Giám đốc với khách hàng,1
đối tác và nhân sự nội bộ,1
Tiếp đón khách,1
Chuẩn bị hậu cần cho các cuộc họp/sự kiện,1
Đặt vé máy bay,1
Chuẩn bị lịch trình công tác,1
Báo cáo & hỗ trợ khác,1
Tổng hợp báo cáo từ các phòng ban theo yêu cầu,1
Thực hiện các công việc phát sinh theo chỉ đạo của Giám đốc,1
KTVN,1
Dtech,1
Sử dụng các công cụ,1
dụng cụ kỹ thuật liên quan hệ thống cơ điện nhà cao tầng,1
phân tích và giải thích các tài liệu kỹ thuật,1
Hệ thống BMS,1
BAC,1
kinh nghiệm 2 năm ở vị trí tương đương (ưu tiên có kinh nghiệm,1
kiến thức liên quan đến BĐS,1
khách sạn,1
phát triển thị trường,1
kỹ năng khảo sát thị trường,1
kỹ năng phân tích & đánh giá thị trường,1
kỹ năng xây dựng mối quan hệ,1
kỹ năng báo cáo,1
tư duy linh hoạt: Giải quyết vấn đề và xử lý tình huống nhanh,1
cởi mở,1
dễ gần,1
nhiều năng lượng tích cực,1
sẵn sàng làm việc,1
và đi thực chiến tại thị trrường,1
Kinh doanh quà tặng/in ấn,1
MS Excel / Google Sheets,1
Ecommerce platforms (Shopee,1
Lazada,1
SketchUp/Revit,1
Quản lý giảng dạy,1
Hệ thống quản lý gia sư,1
Ứng dụng quản lý gia sư,1
LMS tính năng cho gia sư,1
Bảo trì PCCC,1
Kỹ sư hạ tầng đô thị,1
Xuất nhập khẩu/Logistics,1
Chuyên môn Hàng hải,1
M&E (Môi trường và Điện,1
Thiết kế bản vẽ M&E,1
Quản lý hồ sơ thiết kế thi công,1
Kế toán dự án,1
Giám đốc kinh doanh,1
quan-tri-kinh-doanh,1
chuyen-muc-giam-doc-van-hanh-coo,1
tien-luong,1
quan-ly-hang-tuan,1
tham-nghiem-quan-tri-don-vi,1
Chuyên môn Tài chính,1
AutoCAD cơ bản,1
Maya,1
3D modeling,1
Thiết kế nhân vật,1
Kỹ năng giao tiếp và hợp tác tốt,1
Kiểm tra và nhập dữ liệu heo,1
Theo dõi số liệu heo,1
Báo cáo thực tế số lượng cám,1
Làm chứng từ nhập xuất thuốc,1
cám,1
dụng cụ chăn nuôi,1
thế mạnh kỹ thuật máy móc và tự động hóa,1
Excel cơ bản,1
Tìm kiếm và phát triển khách hàng mới,1
Tư vấn sản phẩm,1
web PHP,1
app,1
web design,1
Quản lý/Giám sát mua hàng,1
Animation Design,1
Vận hành khác,1
Kỹ sư lập trình máy,1
Lập báo cáo nhân sự,1
tự tin,1
chủ động và kiên trì,1
Lợi thế: Sử dụng các công cụ CRM,1
Kỹ thuật viên phòng lab,1
English (Speaking,1
listening,1
writing,1
and reading,1
Tính giá thành sản phẩm,1
Kiểm tra và ghi nhận doanh thu bán hàng,1
Tính và hạch toán giá vốn hàng bán,1
Phát âm chuẩn,1
Diễn đạt trôi chảy,1
Quản lý nhân sự và năng suất,1
Kiểm tra cuối cùng các công đoạn xử lý,1
Giám sát chất lượng quy trình,1
Nâng cao năng lực sản xuất,1
Lập kế hoạch thử nghiệm và phân tích kết quả,1
Giảm chi phí sản xuất,1
Tối ưu hóa chất lượng và thông số quy trình,1
Thành thạo tiếng Trung,1
QA/QC,1
Manufacturing,1
Quality Management,1
Autocɑd,1
nắm bắt tâm lý nhu cầu của khách hàng tốt,1
kinh nghiệm sales trên 1 năm,1
kinh nghiệm trong ngành nội thất,1
BĐS,1
Quản lý và vận hành gian hàng,1
Sử dụng thành thạo công cụ phân tích (Google Analytics,1
xử lý tình huống nhanh nhạy,1
thành thạo word excel,1
Kinh doanh B2B,1
Tiếp nhận data công ty cung cấp,1
báo giá về các chương trình học tại VUS,1
Sắp xếp lớp cho học viên,1
Đăng kí lớp học cho học viên và làm thủ tục các khoản thanh toán khóa học,1
Theo dõi lịch học hằng ngày của học viên,1
Chăm sóc học viên cũ và mới để duy trì tỷ lệ đăng kí,1
Thực hiện các công việc: thông báo khai giảng lớp,1
quản lý thông tin học viên qua phần mềm,1
quản lý tài liệu,1
điểm danh,1
Thông báo các lớp hoạt động ngoại khóa,1
lịch nghỉ lễ,1
Tết của Trung tâm đến Học viên,1
Facebook Ads Manager,1
Performance Marketing,1
Dropshipping,1
Incoterms,1
Quy trình xuất nhập khẩu và vận tải quốc tế,1
Kiến thức chuyên môn về giá cước,1
phụ phí logistics và các điều kiện vận chuyển,1
thành thạo phần mềm kế toán Misa,1
SmartPro,1
tiếng Anh Giao tiếp cơ bản ( Hoặc tương đương 600 Toeic,1
Cargowise experience is preferred,1
HĐLĐ,1
Vận hành nhân sự nội bộ,1
tiếng Anh đọc viết cơ bản,1
Tiếng Trung HSK3,1
Quản lý chất lượng công trình,1
kỹ năng chuyên môn,1
kỹ năng lãnh đạo tốt,1
khả năng trình bày,1
truyền đạt thông tin,1
tinh thần trách nhiệm,1
sáng tạo,1
siêng năng,1
cẩn thận,1
tính kỷ luật,1
trung thực trong công việc,1
Cố vấn học tập,1
Tài xế lái xe văn phòng,1
Proposal & Thuyết trình,1
Sales Tour,1
kỹ năng hệ thống,1
kỹ năng phân tích công việc,1
kỹ năng giao tiếp và đào tạo,1
3D Modeler,1
Quản lý nhân sự,1
Chấm công – tính lương,1
Adobe After Effect,1
Customer Experience (Trải nghiệm khách hàng,1
Nam,1
Chuyên môn Xuất nhập khẩu / Hải quan,1
SAP200,1
Sales Điện/Điện tử/Viễn thông khác,1
Biên kịch,1
Kỹ năng: Bán Hàng Dự Án Xây Dựng,1
Quản lý hàng hoá (Merchandiser,1
Sales Xây dựng khác,1
Kỹ sư điện tử,1
AUTOCAD 2D,1
SKETCH UP 3D,1
SAP SuccessFactors,1
Brand Communication,1
Tiếng Trung HSK3-4,1
Dầu khí / Hoá dầu,1
Thiết kế nội thất,1
kỹ năng xây dựng quan hệ khách hàng,1
kỹ năng bán hàng,1
kỹ năng tư vấn sản phẩm,1
Tư vấn du học/định cư,1
Chăm sóc bán hàng,1
Quản lý thu hồi công nợ,1
Phát triển hệ thống khách hàng mới,1
MS Office (Word,1
Intermediate English proficiency,1
Knowledge of an additional language (Chinese,1
Cử nhân chuyên ngành Kế toán,1
Kinh doanh Domain/Hosting/Server,1
Quản lý sản xuất,1
Cải tiến năng suất/năng lực,1
Kỹ năng lãnh đạo,1
Đào tạo và quản lý nhân sự,1
Kỹ năng lập báo cáo và phân tích dữ liệu sản xuất,1
Coffa,1
detail thép,1
vi tính văn phòng (Word,1
các phần mềm trong ngành xây dựng,1
công cụ thiết kế mạch (CAD/EDA,1
hiểu biết về nguyên tắc thiết kế tối ưu cho sản xuất hàng loạt (Design for Manufacturability,1
Chứng chỉ kế toán trưởng,1
Chuyên môn Xây dựng khác,1
Chuyên môn R&D/Sản xuất ô tô khác,1
kỹ năng quản lý đội nhóm,1
kỹ năng đào tạo và truyền cảm hứng,1
giao tiếp linh hoạt,1
kiến thức về tài chính tiêu dùng,1
bảo hiểm hoặc ngân hàng,1
Kế toán chi phí/giá thành,1
AutoCad (Shopdrawing,1
Civil 3D của Autodesk,1
Quản lý số liệu tài chính,1
Chế độ Thưởng hấp dẫn,1
Chế độ phúc lợi vượt trội,1
Thành thạo tin học văn phòng (word,1
Chuyên môn Dịch vụ khách hàng,1
Kinh nghiệm làm việc tại vị trí quản lý đội nhóm,1
Revit MEP (ưu tiên,1
Bản vẽ kỹ thuật,1
Tiêu chuẩn MEP,1
Khả năng đàm phán - kết nối - thuyết phục - xử lý tình huống tốt,1
Kế toán doanh thu,1
Tekla Structures,1
Civil 3D,1
VnRoad,1
ADS Civil,1
YouTube,1
Instagram,1
WordPress,1
GetResponse,1
tiếng Anh IELTS 7.5+,1
tiếng Anh IELTS 8.0,1
Quản lý tòa nhà,1
GMP,1
GLP,1
GSP,1
Kỹ năng làm việc độc lập/nhóm,1
Kỹ năng làm việc tỉ mỉ,1
có trách nhiệm,1
dự toán G8,1
Autocard,1
một phần mềm khác phục vụ cho kiến trúc,1
Bảo trì tòa nhà,1
giao tiếp và thuyết phục tốt,1
sử dụng cơ bản máy tính,1
Excel và hệ thống CRM,1
lập kế hoạch và nắm rõ về chỉ tiêu doanh số,1
tài chính ngân hàng,1
Quản lý hồ sơ vay vốn,1
Thanh toán trong và ngoài nước,1
Kiểm tra chứng từ,1
kỹ năng tổng hợp số liệu,1
kỹ năng phân tích tài chính,1
thành thạo các kỹ năng,1
Trợ lý kinh doanh,1
Sales Representative,1
Phát triển kinh doanh,1
kỹ năng làm việc độc lập và làm việc nhóm tốt,1
kỹ năng chịu áp lực cao và giải quyết vấn đề tốt,1
chuyên môn Kinh doanh thực phẩm B2C Direct Sales,1
Chuyên môn Trợ lý/Thư ký Bán lẻ - Hàng tiêu dùng - FMCG Tài chính,1
tư vấn thẩm mỹ/Spa,1
Microsoft Office (Word,1
Process Quality Assurance (PQA,1
GIS,1
Phần mềm dự toán xây dựng,1
công nghệ ô tô,1
kiến thức chuyên môn kỹ thuật ô tô,1
làm việc nhóm cao,1
Du lịch Nhà hàng / Khách sạn,1
thực tế về kế toán thuế,1
Kỹ sư công nghiệp (IE,1
Công cụ IoT,1
VBA,1
Quản lý thiết bị y tế,1
Sáng tạo và ham học hỏi,1
Giao tiếp Tiếng anh tốt,1
Vận hành Livestream,1
Ngôn ngữ,1
chứng từ,1
hóa đơn,1
sổ sách kế toán,1
Quản lý dữ liệu kế toán,1
Operation,1
sản xuất điện tử,1
MS Teams,1
chứng chỉ IELTS 6.5,1
750 TOEIC,1
BSC,1
Fanpage Facebook,1
Hotline,1
Hồ sơ năng lực (Profile,1
Tài liệu giới thiệu dịch vụ,1
Microsoft Dynamics Business Central,1
hệ thống kỹ thuật,1
nước,1
điều hòa,1
PCCC,1
thang máy,1
vận hành máy sản xuất,1
giám sát máy sản xuất,1
kiểm tra ngoại quan chất lượng,1
Sales Tour/Kinh doanh du lịch B2C,1
Shopee,1
thử nghiệm đèn Led,1
thiết bị điện,1
mạch PCB,1
sơ đồ nguyên lý,1
Oscilloscope,1
đồng hồ đa năng,1
thiết bị phân tích nguồn,1
Altium,1
Proteus,1
băng tải,1
hệ thống nén khí,1
máy sấy,1
cắt,1
mài,1
tiện,1
Xuất hóa đơn VAT,1
xử lý nước,1
hệ thống giải nhiệt (HTGN,1
làm mềm,1
lọc cát,1
xả đáy,1
Tiếng Anh giao tiếp,1
chuyên ngành,1
Dược sĩ/Bán thuốc,1
đọc bản vẽ,1
bóc tách khối lượng,1
Kiểm soát tài sản,1
Định mức vật liệu,1
Tính toán giá thành,1
Phân bổ chi phí,1
Giám sát định mức chi phí,1
Hệ thống quản lý Tài chính – Kế toán,1
báo cáo thuế GTGT,1
xuất hóa đơn bán hàng,1
Seller Etsy,1
Amazon Seller,1
POD (Print on Demand,1
chiến lược bán hàng,1
gian hàng thương mại điện tử quốc tế,1
listing sản phẩm,1
phân tích dữ liệu bán hàng,1
quản trị dữ liệu khách hàng,1
xây hệ thống,1
Canvas,1
máy tính văn phòng,1
AP,1
AR,1
GL,1
FA,1
Bảng cân đối kế toán,1
Báo cáo KQKD,1
Lưu chuyển tiền tệ,1
Thuyết minh báo cáo tài chính,1
SAP ERP,1
Chứng chỉ hành nghề kế toán,1
DipIFR (Diploma in International Financial Reporting,1
Kiểm soát thu chi,1
Chi phí,1
Doanh thu,1
Công nợ,1
Hàng tồn kho,1
Lãi lỗ,1
Quỹ tiền mặt,1
Tiền gửi ngân hàng,1
Ngân sách,1
Dự toán,1
Dòng tiền,1
Chứng chỉ bồi dưỡng kế toán trưởng,1
Production Planning Management,1
production plans,1
product categories,1
VTIN factories,1
Hung Yen plants,1
monthly forecast,1
rolling forecast,1
finished goods inventory plans,1
demand forecast,1
order projection,1
min/max stock levels,1
raw material ordering plans,1
SKU,1
ABC/XYZ segmentation analysis,1
Hỗ trợ kỹ thuật khác,1
Bảo dưỡng định kỳ,1
Quản lý và vận hành gian hàng trên Shopee,1
PTS,1
Zalo Ads,1
Keyword Planner,1
Looker Studio,1
Thiết bị về Tim mạch,1
Thiết bị Y Tế,1
Kỹ thuật y sinh,1
Công nghệ Sinh học,1
Y Dược,1
Kê khai,1
Quyết toán,1
Hoàn thuế,1
GTGT,1
Thuế nhà thầu,1
Kiểm soát chứng từ kế toán - thuế,1
Microsoft dynamic,1
Hệ thống quản lý chất lượng,1
Quy trình kiểm soát hệ thống,1
kinh doanh xe tải,1
bán hàng xe tải,1
Shacman,1
Faw,1
thợ điện lạnh,1
lắp đặt thiết bị điện,1
bảo trì máy móc thiết bị,1
kế hoạch lắp đặt,1
bảo dưỡng,1
Chạy Ads Tiktok,1
lên camp,1
quản lý chiến dịch quảng cáo,1
tối ưu chiến dịch quảng cáo,1
quản lý nguyên vật liệu (PMC,1
Quy trình sản xuất,1
R&D,1
bộ phận mua hàng công ty,1
quản lý điều hành chuỗi,1
Zalo OA,1
Adnetwork,1
Data,1
Giáo viên Toán Online,1
dạy Toán online,1
giảng dạy theo giáo án,1
Manual UI test,1
API test,1
Mobile/Web test,1
Performance test,1
Cassandra,1
Call Center,1
Trực tổng đài,1
web application,1
Frontend,1
Backend,1
SOP công ty,1
FIFO/FEFO,1
WMS,1
KPI,1
trạm sạc hiện có,1
hệ thống trạm sạc ô tô điện (EV Charger,1
lắp đặt hệ thống trạm sạc,1
sạc nhanh (DC,1
AC,1
báo cáo sự cố chi tiết,1
Hợp đồng mua bán (HĐMB,1
Thu nhập khẩu,1
Giải ngân,1
Software Engineering Fundamentals,1
data structures,1
algorithms,1
software design principles,1
distributed systems concepts,1
APIs,1
service-oriented architectures,1
client-server communication,1
relational databases,1
data modeling,1
query optimization,1
performance tuning,1
caching,1
asynchronous processing,1
messaging systems,1
distributed architectures,1
scalability,1
fault tolerance,1
resilience,1
observability practices,1
infrastructure automation,1
DevOps practices,1
event-driven architectures,1
Web,1
Inbox,1
đấu mối,1
nghiệm thu bàn giao vận hành trạm sạc,1
khảo sát mặt bằng trạm sạc,1
layout,1
tiêu chuẩn bố trí trạm sạc,1
nhà thầu thi công,1
BQLXD,1
HĐ mua bán điện,1
quản lý vận hành trạm biến áp,1
nâng cấp trạm cũ,1
Vận hành xử lý các vướng mắc khi trạm đã đi vào vận hành,1
Paid Media,1
Digital Performance,1
Claude,1
Corona,1
Test Strategy,1
Test Plan,1
API testing,1
UAT support,1
Bug Tracking,1
Test case design,1
Database Testing,1
Kiến trúc,1
Kỹ thuật xây dựng,1
Kinh tế xây dựng,1
ASM,1
Quản lý khu vực/vùng miền,1
coast down test,1
range & energy consumption test,1
data acquisition systems,1
sensors,1
logging tools,1
energy consumption,1
efficiency,1
system performance,1
test reports,1
key findings,1
insights,1
recommendations,1
issue tracking,1
debugging,1
validation of corrective actions,1
continuous improvement,1
BEV,1
passenger vehicle energy efficiency-related technologies,1
ETAS INCA,1
CAN bus monitoring applications,1
Vector CANalyzer,1
MATLAB,1
Vehicle or Engine Emissions testing equipment,1
chassis dynamometers,1
analyzers,1
instrumentation,1
sampling systems,1
Contact Center,1
CSKH,1
Back-office,1
Manpower Outsourcing,1
CRM (Customer Relationship Management,1
pipeline,1
SKU (Stock Keeping Unit,1
timber frame detailing,1
structural layout preparation,1
TESOL,1
