phase,k,bm25_weight,knn_weight,ndcg@10,ndcg@20,recall@10,recall@20,mrr
k_sweep,1,1.0,1.0,0.46917628979315185,0.4887761371371274,0.27255570846972005,0.4585838620853816,0.7021881359381359
k_sweep,5,1.0,1.0,0.4772029563940166,0.4980551677988722,0.27447486105551694,0.4639347905708659,0.7282954545454545
k_sweep,10,1.0,1.0,0.47781154571038986,0.49643854507546553,0.2762923643583143,0.4633655625702878,0.7207430763680764
k_sweep,20,1.0,1.0,0.47424275938832633,0.48816520152096565,0.27414443904088437,0.45353034595577846,0.7243230625583567
k_sweep,40,1.0,1.0,0.47301288735046954,0.48497621432358595,0.273453099878957,0.44916683837632665,0.7257286722433186
k_sweep,60,1.0,1.0,0.4722999157926073,0.4849520551047278,0.272306884982742,0.44881611711616265,0.732642591657238
k_sweep,80,1.0,1.0,0.47180067971651396,0.48519022415324564,0.27190561958147663,0.4492209754157578,0.7326174533968056
k_sweep,100,1.0,1.0,0.4717911931251084,0.4855239621334363,0.2714782691541262,0.44967346410354064,0.7325949612690503
weight_sweep,10,0.0,1.0,0.4174985122200326,0.4309651652378839,0.2471234250223114,0.41122481634511154,0.6152598334240434
weight_sweep,10,0.25,1.0,0.4413641146461541,0.4651558575337763,0.2548940140823741,0.43857291610330895,0.6649618827717567
weight_sweep,10,0.5,1.0,0.4659613881675791,0.4836285909424123,0.27211059007603994,0.45236955009653734,0.6925765299107762
weight_sweep,10,0.75,1.0,0.47241244535010396,0.4906555421735044,0.27319911492915155,0.4562059381115989,0.7074054915108428
weight_sweep,10,1.0,1.0,0.47781154571038986,0.49643854507546553,0.2762923643583143,0.4633655625702878,0.7207430763680764
weight_sweep,10,1.25,1.0,0.4778234619228094,0.49422906060508764,0.27660960592532036,0.46211569977178246,0.7262082283438559
weight_sweep,10,1.5,1.0,0.4736888959518361,0.489889101939965,0.27137119346631966,0.455094030163964,0.7283999513707752
weight_sweep,10,0.5,0.45,0.4761351417556523,0.4954931195783517,0.2757842401146604,0.4633818795866048,0.7205022221368376
fine_sweep,10,0.5,0.25,0.4724725887887581,0.483918105710847,0.27026790577247467,0.4462422992759745,0.7318447147394516
fine_sweep,10,0.5,0.3,0.47493138433370524,0.4890237484737555,0.27306797879313593,0.4542617089763797,0.7259341491841492
fine_sweep,10,0.5,0.35,0.4743873728289147,0.49099030886083406,0.27271725753297194,0.4570575078627358,0.7239351634645157
fine_sweep,10,0.5,0.4,0.4777806402148356,0.4941934946273197,0.27660960592532036,0.46211569977178246,0.7262082283438559
fine_sweep,10,0.5,0.45,0.4761351417556523,0.4954931195783517,0.2757842401146604,0.4633818795866048,0.7205022221368376
fine_sweep,10,0.5,0.5,0.47781154571038986,0.49643854507546553,0.2762923643583143,0.4633655625702878,0.7207430763680764
fine_sweep,10,0.5,0.55,0.4772433609321907,0.493038840405162,0.2782349961754401,0.45957556899546453,0.7161715211311985
fine_sweep,10,0.5,0.6,0.4727674075382583,0.49118955767830463,0.2743373142484654,0.4564683607731668,0.7113642508285365
fine_sweep,10,0.5,0.65,0.47278501739057943,0.49150882791481026,0.2728975646276013,0.4562059381115989,0.7152954719008231
