phase,k,bm25_weight,knn_weight,ndcg@10,ndcg@20,recall@10,recall@20,mrr
k_sweep,1,1.0,1.0,0.47358380985288817,0.4871619466118742,0.2789766714099138,0.4589227174186999,0.6977074241547926
k_sweep,5,1.0,1.0,0.4907818653022945,0.49885213757460406,0.2844929849187229,0.4618139782046975,0.722901880499026
k_sweep,10,1.0,1.0,0.49177238942881807,0.49829526115269207,0.2858416757016242,0.4610534349983339,0.7161763875405013
k_sweep,20,1.0,1.0,0.4878449730811242,0.4931815205291104,0.28363921584990265,0.4571227615231907,0.7093057541807244
k_sweep,40,1.0,1.0,0.4865153847959394,0.4888767269180962,0.2837254578672592,0.4514464547855029,0.7085677177073938
k_sweep,60,1.0,1.0,0.48566958763485474,0.48985039977261446,0.282125490926735,0.45267594425028645,0.7092087433484194
k_sweep,80,1.0,1.0,0.4839104575172179,0.4903880889436957,0.27984429001550315,0.4535916951660374,0.7102893294290056
k_sweep,100,1.0,1.0,0.482383021007934,0.4903710882405575,0.27820994225112444,0.4535916951660374,0.7102893294290056
weight_sweep,10,0.0,1.0,0.4304282597074482,0.44042320939854834,0.25969906951180444,0.4219074756878711,0.6070595806698748
weight_sweep,10,0.25,1.0,0.4593350723496998,0.47388974796385364,0.27290253247246893,0.449521172321337,0.6517496246443615
weight_sweep,10,0.5,1.0,0.47978553520312184,0.4907398833567203,0.2834460523764344,0.45953732709302614,0.6812979713768296
weight_sweep,10,0.75,1.0,0.4904644989580802,0.49842802049439944,0.2863739578902532,0.46348546475621505,0.7132370030406037
weight_sweep,10,1.0,1.0,0.49177238942881807,0.49829526115269207,0.2858416757016242,0.4610534349983339,0.7161763875405013
weight_sweep,10,1.25,1.0,0.490753397897829,0.49378876910598446,0.28243998495461575,0.455769771305111,0.7330111775614024
weight_sweep,10,1.5,1.0,0.48354344755725764,0.48811502173110166,0.27653224066707605,0.44895472007031956,0.7340076345439897
weight_sweep,10,0.5,0.45,0.493675122153528,0.49605028312381405,0.2863244366477719,0.4570370933958434,0.7204564061098175
fine_sweep,10,0.5,0.25,0.4738910953350863,0.4819166998004865,0.2678726779216,0.44371406299208466,0.7359869665822844
fine_sweep,10,0.5,0.3,0.47877170832634125,0.4851781894064202,0.27193499795450826,0.4468117748662288,0.7321068895643363
fine_sweep,10,0.5,0.35,0.4858266035069922,0.49009680782803017,0.27852261140744683,0.4515605572156304,0.7335472216963477
fine_sweep,10,0.5,0.4,0.490753397897829,0.49366718760018996,0.28243998495461575,0.45534242087776056,0.7330111775614024
fine_sweep,10,0.5,0.45,0.493675122153528,0.49605028312381405,0.2863244366477719,0.4570370933958434,0.7204564061098175
fine_sweep,10,0.5,0.5,0.49177238942881807,0.49829526115269207,0.2858416757016242,0.4610534349983339,0.7161763875405013
fine_sweep,10,0.5,0.55,0.4925352164720559,0.4989536539867886,0.28765036847084335,0.4620570266366005,0.7162477869942537
fine_sweep,10,0.5,0.6,0.4909690199444308,0.4985673396473688,0.28741503119603234,0.46351594081610287,0.7152910891639087
fine_sweep,10,0.5,0.65,0.49103268434549724,0.4981489427393908,0.28753557405186936,0.4634175914530476,0.7132155806382394
