uri,title
http://data.europa.eu/esco/occupation/bf89925d-00a1-4f94-ab3b-2148c887af33,retail entrepreneur
http://data.europa.eu/esco/occupation/e027434f-8aa4-4d87-a070-b1d5c57749e6,fragrance chemist
http://data.europa.eu/esco/occupation/9f508305-80ce-4111-8722-f2c9b4a44890,product manager
http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,clothing development manager
http://data.europa.eu/esco/occupation/2808c7ec-cdb1-4b48-8429-e160a418ed0c,regional development policy officer
http://data.europa.eu/esco/occupation/d5a43cd3-230e-46d0-ba05-d67d61e5cfbb,digital media designer
http://data.europa.eu/esco/occupation/b76178c0-a03a-4793-b079-1e61e636c521,business developer
http://data.europa.eu/esco/occupation/ef6020f9-11b4-4d1a-96e0-903331594121,footwear product development manager
http://data.europa.eu/esco/occupation/a6517365-211c-456d-aca4-1a0115c7b1e1,e-learning architect
http://data.europa.eu/esco/occupation/bab5fa79-7f96-4e21-87b6-1eba560b8d9a,3D modeller
http://data.europa.eu/esco/occupation/2bef94db-0088-4507-982a-2ca717529adb,enterprise architect
http://data.europa.eu/esco/occupation/ec5b72d1-0206-4179-9abd-570c66bc44b9,e-learning developer
http://data.europa.eu/esco/occupation/44508e7b-f56b-4bfb-9cd6-879838aecd94,land planner
http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09,medical device engineer
http://data.europa.eu/esco/occupation/dbc88790-a8c1-4dc4-9507-8f9dcff9c990,engine designer
http://data.europa.eu/esco/occupation/a142a645-6e9e-4d86-accd-9816df857c90,leather goods designer
http://data.europa.eu/esco/occupation/e2a495fb-68a3-46f9-8753-6ce566a7a085,pharmaceutical engineer
http://data.europa.eu/esco/occupation/1a46d0f0-93d7-44d1-bff9-58e3f21bd4c4,social service consultant
http://data.europa.eu/esco/occupation/60082a99-d8ef-4e84-9290-78902681b6ed,business analyst
http://data.europa.eu/esco/occupation/35bc3847-58ad-46f5-8921-e58acc2762a6,chemical engineering technician
http://data.europa.eu/esco/occupation/b9b47087-6045-405d-b769-6a0c94e2eb84,mediation and education manager
http://data.europa.eu/esco/occupation/d89b23c2-d042-4ca6-a917-109fe5a0b30c,curriculum administrator
http://data.europa.eu/esco/occupation/06f89f2c-c6e9-40c5-a4a5-0e34d5fbc184,footwear designer
http://data.europa.eu/esco/occupation/50e00fda-ac7c-4bc5-9f19-69a33ff3d6e7,fiscal affairs policy officer
http://data.europa.eu/esco/occupation/73856e9e-eca2-44c2-bb3c-aaedf4b25979,insurance product manager
http://data.europa.eu/esco/occupation/18232485-5f8b-4c53-80f2-3d9f8f9d0e20,wearing apparel patternmaker
http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,data scientist
http://data.europa.eu/esco/occupation/af355ac4-dd89-44df-99a6-bba70202d6fe,data entry supervisor
http://data.europa.eu/esco/occupation/7086d0ca-1e77-4690-89c9-7ed1a0478fa3,data quality specialist
http://data.europa.eu/esco/occupation/6353b3e8-e8f2-4ecb-b230-186927139892,data entry clerk
http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2,data analyst
http://data.europa.eu/esco/occupation/591c5063-69ce-4551-ba60-e2304111130f,aviation data communications manager
http://data.europa.eu/esco/occupation/8d9ec84d-cf2d-4179-87bc-335cda54a427,database designer
http://data.europa.eu/esco/occupation/9729c0f3-c9bc-482e-ac59-a82ec3b67ba3,data centre operator
http://data.europa.eu/esco/occupation/3d190639-90f8-4402-b1b3-a104a17e0d67,database integrator
http://data.europa.eu/esco/occupation/30ca97f4-a4fd-4189-a781-ac08f6b09b78,call centre analyst
http://data.europa.eu/esco/occupation/e297ec12-4712-40a4-ad98-ba004cacb205,chief data officer
http://data.europa.eu/esco/occupation/8c57af09-719c-42b3-be40-6ed4946236cc,database administrator
http://data.europa.eu/esco/occupation/4e4a1aa1-ca53-406e-9ca6-889d4621a0ed,big data archive librarian
http://data.europa.eu/esco/occupation/2bdf0696-776c-47e6-9259-6460af224dac,meter reader
http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc,ICT operations manager
http://data.europa.eu/esco/occupation/f470b785-643c-46f9-8b31-6085427ab7b8,aeronautical information specialist
http://data.europa.eu/esco/occupation/68d973df-bf10-4bf7-9a1b-fbd9f604b9db,bioinformatics scientist
